x/sigmax r=0.01 r=0.1 r=1 r=10 r=0.5 r=0.2
-4.86 -8.461518733182885 -5.163308062734011 -0.380501034843946 -0.004438958982347   -1.148424128387649  -3.24683447170005
-4.8 -8.467776418340717 -5.196569006794735 -0.390069259632906 -0.004574261712556    -1.170863287728798  -3.283147399684926
-4.74 -8.474038782646996 -5.230109470902435 -0.400001924072191 -0.004716683718262   -1.193927145393193  -3.320004996160131
-4.68 -8.480305443411378 -5.263931909428489 -0.410317474538181 -0.004866816190745   -1.217637591554364  -3.357416889789994
-4.62 -8.486575903546232 -5.298038695040608 -0.421035462381539 -0.00502531859484    -1.242017353416257  -3.395392806548275
-4.56 -8.492849520526267 -5.332432088270082 -0.432176606356655 -0.005192927720307   -1.267090010596567  -3.433942549033432
-4.5 -8.499125475455957 -5.367114199224545 -0.443762855265095 -0.005370467841699    -1.292880005255713  -3.473075955127941
-4.44 -8.50540268639028 -5.402086940005242 -0.455817449785611 -0.005558862068543    -1.31941264541053   -3.51280286016545
-4.38 -8.511679826567162 -5.437351965877806 -0.46836498219488 -0.005759144957709    -1.3467140995686    -3.553133041770441
-4.32 -8.517955174257658 -5.47291060291003 -0.481431452372396 -0.005972476444441    -1.374811380475619  -3.594076152457902
-4.26 -8.524226562591121 -5.508763759417147 -0.495044318127313 -0.006200157126606   -1.403732315382672  -3.635641636082052
-4.2 -8.530491263684125 -5.544911818144039 -0.509232537482513 -0.006443644907119    -1.433505499812374  -3.677838625085275
-4.14 -8.536745857765482 -5.581354505666861 -0.524026600101693 -0.006704572961129   -1.46416023133673   -3.720675814997828
-4.08 -8.542986075566565 -5.618090735017034 -0.539458544549109 -0.006984768946216   -1.495726419365612  -3.764161312165831
-4.02 -8.549206609485662 -5.655118417025328 -0.555561957532726 -0.007286275314534   -1.528234466417797  -3.808302450177334
-3.96 -8.555400888514701 -5.692434235360773 -0.572371950703606 -0.007611370514705   -1.561715115770054  -3.853105569924287
-3.9 -8.561560811391429 -5.730033379711584 -0.589925109977838 -0.007962590787591    -1.596199259809271  -3.898575757702943
-3.84 -8.567676431925818 -5.76790923103777 -0.60825941172144 -0.008342752163703 -1.631717702833138  -3.944716535228949
-3.78 -8.573735589965723 -5.806052992338074 -0.627414099510064 -0.008754972160801   -1.668300871476109  -3.991529494958337
-3.72 -8.579723481037929 -5.844453257941033 -0.647429514562855 -0.009202690559494   -1.705978465503317  -4.039013873574465
-3.66 -8.585622157354699 -5.88309551397949 -0.66834687237715 -0.009689688502935 -1.744779041025433  -4.087166056390781
-3.6 -8.59140995264632 -5.921961562473445 -0.690207977586379 -0.010220105027038 -1.784729518251394  -4.13597900474258
-3.54 -8.597060823203652 -5.961028861364188 -0.713054868660403 -0.010798449982514   -1.825854605283372  -4.185441598846547
-3.48 -8.602543597633723 -6.000269772955503 -0.736929383803171 -0.011429612163875   -1.868176129676576  -4.235537888169697
-3.42 -8.607821128189553 -6.039650713569618 -0.761872639318425 -0.012118861318323   -1.911712269603429  -4.286246242200542
-3.36 -8.612849337181125 -6.079131197863902 -0.787924411855186 -0.01287184257523    -1.956476676942335  -4.337538394805284
-3.3 -8.617576152954715 -6.118662772227534 -0.815122416358323 -0.013694561722819    -2.002477485400634  -4.389378376295063
-3.24 -8.621940331292221 -6.158187833033232 -0.843501472283596 -0.014593359669161   -2.049716197939591  -4.441721328862284
-3.18 -8.625870159873863 -6.197638327303266 -0.87309255173939 -0.015574874370591    -2.098186449343603  -4.494512202640227
-3.12 -8.629282045708866 -6.236934335601429 -0.90392170473333 -0.016645988501722    -2.147872641809016  -4.547684331923711
-3.06 -8.632078988201105 -6.275982539716549 -0.936008858671242 -0.017813761228963   -2.198748453893551  -4.601157893807844
-3. -8.634148943802046 -6.314674580980547 -0.969366491710363 -0.019085342209025 -2.250775226713205  -4.654838254752864
-2.94 -8.635363092020775 -6.352885318873269 -1.003998182530953 -0.020467867343899   -2.303900233116159  -4.708614214367386
-2.88 -8.63557401689998 -6.390471003898519 -1.039897042555863 -0.021968333636312    -2.358054843156616  -4.762356160009677
